delivery_count_sum,is_above_average_delivery_day,log_ratio_to_average,delivery_date,delivery_weekday_name,is_midweek,DailyPrecipitation,DailySnowDepth,SnowOnGround,DailySnowfall,PriorDayAverageDryBulbTemperatureDiff,PriorDayMaximumTemperatureDiff,PriorDayMinimumTemperatureDiff,PriorDayPrecipitationAmt,Prior2DayPrecipitationAmt,PriorDayPrecipitationDiff,Prior2DayPrecipitationDiff,PriorDaySnowfallAmt,PriorDaySnowfallDiff,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,Precip_10AM-2PM
199,True,0.48510534010212575,2016-04-22,Fri,False,0.0,0,false,0.0,-7,-7,-7,0.32,0.25,-0.32,-0.25,0.0,0.0,No Precip,No Precip,No Precip,No Precip
40,False,-0.21168774497961854,2017-04-22,Sat,False,0.0,0,false,0.0,5,6,4,0.0,0.15,0.0,-0.15,0.0,0.0,No Precip,No Precip,No Precip,No Precip
39,False,-0.2226831292810817,2019-04-22,Mon,False,0.35,0,false,0.0,-18,-28,-9,0.0,0.0,0.35,0.35,0.0,0.0,Light Precip,Precip,Precip,No Precip
51,False,-0.10617756020964454,2020-04-22,Wed,True,0.0,0,false,0.0,15,17,14,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
75,True,0.061313527084119156,2021-04-22,Thu,True,0.0,0,false,0.0,13,21,5,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
68,False,-0.024152858523139174,2012-04-23,Mon,False,0.0,0,false,0.0,2,9,-5,0.03,0.29,-0.03,-0.29,0.0,0.0,No Precip,No Precip,No Precip,No Precip
17,False,-0.6262128498511016,2013-04-23,Tue,True,0.02,3,true,0.3,-3,-2,-4,0.82,0.15,-0.7999999999999999,-0.13,3.5,-3.2,No Precip,No Precip,No Precip,No Precip
62,False,-0.06427008173112161,2014-04-23,Wed,True,0.26,0,false,0.0,-5,-12,2,0.0,0.2,0.26,0.06,0.0,0.0,No Precip,No Precip,No Precip,Light Precip
29,False,-0.39426377333041945,2015-04-23,Thu,True,0.0,0,false,0.0,1,6,-3,0.0,0.03,0.0,-0.03,0.0,0.0,No Precip,No Precip,No Precip,No Precip
59,False,-0.0858097595872313,2017-04-23,Sun,False,0.0,0,false,0.0,5,1,8,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
254,True,0.5481719453905626,2018-04-23,Mon,False,0.0,0,false,0.0,8,7,8,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
18,False,-0.6013892661260694,2019-04-23,Tue,True,0.0,0,false,0.0,6,16,-4,0.35,0.0,-0.35,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
56,False,-0.10847374422317509,2020-04-23,Thu,True,0.0,0,false,0.0,-7,-8,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
84,True,0.06761751483250618,2021-04-23,Fri,False,0.09,0,false,0.0,-1,-12,10,0.0,0.0,0.09,0.09,0.0,0.0,No Precip,No Precip,Light Precip,Light Precip
79,False,-0.12200837971087498,2012-04-24,Tue,True,0.0,0,false,0.0,10,8,13,0.0,0.03,0.0,-0.03,0.0,0.0,No Precip,No Precip,No Precip,No Precip
72,False,-0.16230297457004791,2013-04-24,Wed,True,0.0,0,false,0.0,4,9,0,0.02,0.82,-0.02,-0.82,0.3,-0.3,No Precip,No Precip,No Precip,No Precip
