PM_Diff_Amt,PM_Diff_Category_Val,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,WindSpeed_12AM-6AM_avg_val,WindSpeed_6AM-10AM_avg_val,WindSpeed_10AM-2PM_avg_val,open_price,prior_day_open_price,prior_day_open_diff,prior_day_trend,yesterday_avg_diff,yesterday_avg_trend
-15.0,Less_Activity,Precip,No Precip,No Precip,15.65,16.33,18.6,7.0875,7.0225,0.065,Better (>.05),0.0075,Nominal Change
-3.0,Same_Activity,Precip,Light Precip,Light Precip,9.75,8.55,11.75,6.775,7.0875,-0.3125,Significantly Worse (<-.10),0.0675,Better (>.05)
-3.0,Same_Activity,No Precip,No Precip,No Precip,12.58,14.0,13.4,6.8,6.775,0.025,Slightly Better (>.02),-0.28,Significantly Worse (<-.10)
3.0,Same_Activity,No Precip,No Precip,No Precip,6.08,6.25,6.5,6.7,6.8,-0.1,Worse (<-.05),-0.1313,Significantly Worse (<-.10)
-3.0,Same_Activity,No Precip,No Precip,No Precip,6.25,9.05,18.38,6.62,6.6467,-0.0267,Slightly Worse (<-.02),-0.04,Slightly Worse (<-.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,5.42,7.13,7.0,6.7,6.62,0.08,Better (>.05),-0.04,Slightly Worse (<-.02)
-11.0,Less_Activity,No Precip,No Precip,No Precip,3.5,10.25,15.38,6.98,6.7,0.28,Significantly Better (>.10),0.0667,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,9.47,9.0,11.63,6.3,6.98,-0.68,Significantly Worse (<-.10),0.32,Significantly Better (>.10)
8.0,More_Activity,No Precip,No Precip,No Precip,7.83,7.25,5.5,6.275,6.3,-0.025,Slightly Worse (<-.02),-0.54,Significantly Worse (<-.10)
16.0,More_Activity,Light Precip,No Precip,No Precip,9.65,6.0,4.25,6.8,6.6688,0.1313,Significantly Better (>.10),0.1969,Significantly Better (>.10)
-33.0,Less_Activity,No Precip,No Precip,No Precip,2.83,2.75,6.0,6.75,6.8,-0.05,Slightly Worse (<-.02),0.1969,Significantly Better (>.10)
2.0,Same_Activity,No Precip,No Precip,No Precip,6.33,8.58,13.0,6.965,6.9575,0.0075,Nominal Change,0.0288,Slightly Better (>.02)
-22.0,Less_Activity,No Precip,No Precip,No Precip,5.08,5.38,5.75,6.77,6.7925,-0.0225,Slightly Worse (<-.02),-0.135,Significantly Worse (<-.10)
-43.0,Less_Activity,No Precip,No Precip,No Precip,3.58,3.75,6.5,6.93,6.88,0.05,Slightly Better (>.02),-0.2,Significantly Worse (<-.10)
-27.0,Less_Activity,No Precip,No Precip,No Precip,1.67,4.75,6.75,6.75,6.81,-0.06,Worse (<-.05),-0.09,Worse (<-.05)
-4.0,Same_Activity,No Precip,No Precip,No Precip,9.75,13.68,17.13,6.84,6.75,0.09,Better (>.05),-0.09,Worse (<-.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,4.92,2.25,7.88,6.79,6.84,-0.05,Slightly Worse (<-.02),0.06,Better (>.05)
7.0,More_Activity,No Precip,No Precip,No Precip,3.67,5.25,9.38,7.02,6.79,0.23,Significantly Better (>.10),-0.005,Nominal Change
-7.0,Less_Activity,No Precip,No Precip,No Precip,7.25,8.25,6.15,7.02,7.02,0.0,Nominal Change,0.205,Significantly Better (>.10)
-4.0,Same_Activity,No Precip,No Precip,No Precip,4.0,6.5,9.0,7.065,7.05,0.015,Nominal Change,0.0225,Slightly Better (>.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,9.25,9.38,15.63,7.12,7.065,0.055,Better (>.05),0.0225,Slightly Better (>.02)
9.0,More_Activity,No Precip,No Precip,No Precip,5.8,4.0,9.25,7.12,7.12,0.0,Nominal Change,0.0625,Better (>.05)
-10.0,Less_Activity,No Precip,No Precip,No Precip,0.5,5.63,11.13,6.99,7.12,-0.13,Significantly Worse (<-.10),0.0275,Slightly Better (>.02)
-10.0,Less_Activity,No Precip,No Precip,No Precip,4.42,7.63,10.38,7.1,6.99,0.11,Significantly Better (>.10),-0.13,Significantly Worse (<-.10)
-5.0,Same_Activity,No Precip,No Precip,No Precip,0.0,5.38,8.5,7.2,7.1667,0.0333,Slightly Better (>.02),0.05,Better (>.05)
-4.0,Same_Activity,Light Precip,Light Precip,No Precip,10.95,7.25,10.5,7.3,7.2,0.1,Better (>.05),0.05,Slightly Better (>.02)
-13.0,Less_Activity,No Precip,No Precip,No Precip,9.5,12.25,19.38,7.28,7.3,-0.02,Nominal Change,0.1167,Significantly Better (>.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,5.42,0.38,2.0,7.3175,7.28,0.0375,Slightly Better (>.02),0.03,Slightly Better (>.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,6.25,7.75,9.38,7.5125,7.3175,0.195,Significantly Better (>.10),0.0275,Slightly Better (>.02)
-4.0,Same_Activity,No Precip,No Precip,No Precip,0.5,1.25,7.5,7.56,7.5442,0.0158,Nominal Change,0.0238,Slightly Better (>.02)
